n_threads,matrix_size,n_steps,time
8,512,1000,51339
8,1024,1000,124218
8,2048,1000,420620
8,4096,1000,3189038
8,8192,1000,12786479
8,128,5000,51418
8,256,5000,85270
8,512,5000,166021
8,1024,5000,519829
8,2048,5000,2021255
8,4096,5000,15899629
8,8192,5000,63467629
8,128,10000,89088
8,256,10000,138588
8,512,10000,309285
8,1024,10000,1019710
8,2048,10000,4000993
8,4096,10000,32088416
8,8192,10000,126814509
8,128,50000,378079
8,256,50000,603873
8,512,50000,1473990
8,1024,50000,5036563
8,2048,50000,20114273
8,128,100,1295
8,256,100,2205
8,512,100,5328
8,1024,100,20249
8,2048,100,64078
8,4096,100,318530
8,8192,100,1301261
8,128,500,5004
8,256,500,9489
8,512,500,26975
8,1024,500,73940
8,2048,500,220524
8,4096,500,1609418
8,8192,500,6359714
8,128,1000,9680
8,256,1000,19003
8,512,1000,51175
8,1024,1000,121578
8,2048,1000,420228
8,4096,1000,3189279
8,8192,1000,12780737
8,128,5000,50480
8,256,5000,75806
8,512,5000,167089
8,1024,5000,520153
8,2048,5000,2025469
8,4096,5000,16013054
8,8192,5000,63451067
8,128,10000,90141
8,256,10000,133584
8,512,10000,311138
8,1024,10000,1019233
8,2048,10000,4023756
8,4096,10000,32054435
8,8192,10000,126877054
8,128,50000,379768
8,256,50000,596708
8,512,50000,1464148
8,1024,50000,5017046
8,2048,50000,19963677
8,128,100,1388
8,256,100,2228
8,512,100,5697
8,1024,100,21073
8,2048,100,64810
8,4096,100,318697
8,8192,100,1268230
8,128,500,5992
8,256,500,10001
8,512,500,26654
8,1024,500,73448
8,2048,500,221284
8,4096,500,1627595
8,8192,500,6325874
8,128,1000,11014
8,256,1000,19625
8,512,1000,52303
8,1024,1000,123325
8,2048,1000,418343
8,4096,1000,3176006
8,8192,1000,12655596
8,128,5000,51898
8,256,5000,86602
8,512,5000,165464
8,1024,5000,520465
8,2048,5000,2031135
8,4096,5000,16009468
